naam,buis,filt,x,y,lat,lon,surface_level,bkf,okf,uuid_hand,uuid_diver
GORSSEL-S6001,GORSSEL-S6,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
GORSSEL-S7001,GORSSEL-S7,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
GORSSEL-S8001,GORSSEL-S8,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
GORSSEL-S9001,GORSSEL-S9,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
GR-RUW2001,GR-RUW2,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
GRWP009004,GRWP009,4,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-114.0,-115.0,,
GRWP009003,GRWP009,3,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-89.0,-90.0,,
GRWP009002,GRWP009,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-69.0,-70.0,,
GRWP009001,GRWP009,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-45.0,-46.0,,
GRWP010002,GRWP010,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-79.0,-80.0,,
GRWP010001,GRWP010,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-39.0,-40.0,,
GRWP011002,GRWP011,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-79.0,-80.0,,
GRWP011001,GRWP011,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-39.0,-40.0,,
GRWP012002,GRWP012,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-79.0,-80.0,,
GRWP012001,GRWP012,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,-39.0,-40.0,,
GVWP020001,GVWP020,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,4.05,-46.95,-47.95,,
GVWP037002,GVWP037,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,3.49,-4.5,-14.5,,
GVWP037001,GVWP037,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,3.49,-7.5,-9.5,,
GVWP038004,GVWP038,4,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,3.5,-65.5,-67.5,,
GVWP038003,GVWP038,3,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,3.5,-45.5,-47.5,,
GVWP038002,GVWP038,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,3.5,-24.5,-26.5,,
GVWP038001,GVWP038,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,3.5,-1.5,-3.5,,
HAV-05001,HAV-05,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
HAV-19001,HAV-19,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,8.74,6.74,5.74,,
HEEKHETT002,HEEKHETT,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
HEEKHETT003,HEEKHETT,3,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
HEEKHETT004,HEEKHETT,4,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-1001,KLOOS-BOS-1,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-1002,KLOOS-BOS-1,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-10001,KLOOS-BOS-10,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-10002,KLOOS-BOS-10,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-11001,KLOOS-BOS-11,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-11002,KLOOS-BOS-11,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-12001,KLOOS-BOS-12,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-12002,KLOOS-BOS-12,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-13001,KLOOS-BOS-13,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-13002,KLOOS-BOS-13,2,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
KLOOS-BOS-14001,KLOOS-BOS-14,1,-1.4665420167148113e-05,-0.00010837893933057785,47.97476588287572,3.3135576333212353,0.0,,,,
